Airlines,Flight Date,COVID Phase,Departure delay (Minutes),Delay Carrier (Minutes)_Dep,Delay Weather (Minutes)_Dep,Delay National Aviation System (Minutes)_Dep,Delay Security (Minutes)_Dep,Delay Late Aircraft Arrival (Minutes)_Dep,Total Flights_Dep,Cancelled Flights,Cancellation Rate (%),Arrival Delay (Minutes),Delay Carrier (Minutes)_Arr,Delay Weather (Minutes)_Arr,Delay National Aviation System (Minutes)_Arr,Delay Security (Minutes)_Arr,Delay Late Aircraft Arrival (Minutes)_Arr,Total Flights_Arr
Alaska Airlines,2018-04-16,Pre-COVID,114.5,49,0,29,0,172,2,0.0,0.0,95.5,149.0,0.0,28.0,0.0,0.0,2.0
Alaska Airlines,2018-04-17,Pre-COVID,-3.5,0,0,0,0,0,2,0.0,0.0,-33.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-18,Pre-COVID,-8.5,0,0,0,0,0,2,0.0,0.0,-17.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-19,Pre-COVID,-6.0,0,0,0,0,0,2,0.0,0.0,-27.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-20,Pre-COVID,-6.5,0,0,0,0,0,2,0.0,0.0,-21.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-21,Pre-COVID,-11.0,0,0,0,0,0,2,0.0,0.0,-6.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-22,Pre-COVID,-4.5,0,0,0,0,0,2,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-23,Pre-COVID,-2.5,0,0,0,0,0,2,0.0,0.0,-19.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-24,Pre-COVID,-8.5,0,0,0,0,0,2,0.0,0.0,-18.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-25,Pre-COVID,-13.0,0,0,0,0,0,2,0.0,0.0,-29.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-26,Pre-COVID,-2.5,0,0,0,0,0,2,0.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-27,Pre-COVID,-0.5,0,0,0,0,0,2,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-28,Pre-COVID,-5.5,0,0,0,0,0,2,0.0,0.0,-6.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-29,Pre-COVID,-2.0,0,0,0,0,0,2,0.0,0.0,-11.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-30,Pre-COVID,-8.0,0,0,0,0,0,2,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-01,Pre-COVID,-4.0,0,0,0,0,0,2,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-02,Pre-COVID,2.0,0,0,0,0,0,2,0.0,0.0,-1.5,0.0,0.0,21.0,0.0,0.0,2.0
